video_id,channel_id,published_date,category_name,duration,tags,description,on_trending_date,off_trending_date,on_rank,off_rank,on_views,off_views,on_likes,off_likes,on_dislikes,off_dislikes,on_comments,off_comments,on_channel_subscribers,off_channel_subscribers,on_channel_total_views,off_channel_total_views,on_channel_total_videos,off_channel_total_videos
V-FNv,CH1cWTE,2021-07-28,Entertainment,PT26M21S,올림픽|도쿄올림픽|여자배구|김연경|식빵언니|식빵|김희진|양효진|박정아|한유미|김사니|김수지|해피피라미드333|나혼산|김연경연애|김연경이상형|박정아댓글|실시간검색어|실검|김희진실검|박정아실검|김연경김희진|김연경집|김연경요리|먹방|여자배구선수|국가대표|여자배구국가대표|국대|나혼자산다|김연경나혼산|김연경식빵|스페인|KimYeonKoung|KimHeeJin|YangHyoJin|ParkJeongAh|KimSuJi|Olympic|Volleyball|2020|2021|MBC|people|TVPP,#김연경 #김희진 #양효진 #박정아 #한유미 #김사니 #김수지 #해피피라미드333 #나혼자산다 #TVPP,2021-07-30,2021-07-31,14,23,139118,228152,1931,2909,23,35,187,280,3480000,3480000,3880880353,3882927220,17603,17607
V-Hv7,CHiEEF5,2021-06-22,Entertainment,PT1M48S,Ashin|AshinoftheNorth좀비|JunJiHyun|Kingdom|Specialepisode|kingdomspecial|zombie|김은희|넷플릭스|미스터리|박병은|생사초|스페셜에피소드|언데드|전지현|조선|킹덤|킹덤스페셜|킹덤시리즈|킹덤아신전,"조선을 집어삼킬 죽음의 시작넷플릭스 《킹덤》 스페셜 에피소드《킹덤: 아신전》 7월 23일 공개, 오직 넷플릭스에서#넷플릭스 #킹덤아신전 #KingdomAshinoftheNorth넷플릭스 채널 구독: https://bit.ly/2HUnqDrhttps://youtube.com/NetflixKorea",2021-06-24,2021-06-25,13,32,557324,742357,8437,10096,85,108,1371,1626,552000,553000,147076846,147488633,1269,1270
V-Ih5,CHEf_Bc,2021-04-05,Music,PT4M32S,,WENDY's 1st Mini Album Like Water is out!Listen and download on your favorite platform: https://smarturl.it/WENDY_LIKEWATER[Tracklist]01 When This Rain Stops02 Like Water03 Why Can't You Love Me?04 초행길 (The Road)05 Best Friend (with SEULGI)WENDY Officialhttp://www.youtube.com/redvelvethttp://www.facebook.com/RedVelvethttp://www.instagram.com/redvelvet.smtownhttps://www.tiktok.com/@redvelvet_smtownhttps://www.vlive.tv/channel/DCF447http://twitter.com/RVsmtown#WENDY​ #웬디​ #Like_WaterWENDY 웬디 'Like Water' MV ℗ SM Entertainment,2021-04-07,2021-04-09,5,33,4213869,6693682,755756,853078,5909,7569,99621,111468,26800000,26800000,20271825690,20296384443,3676,3679
V-Jbn,CHkh6Tl,2021-04-11,People & Blogs,PT46M21S,유트루|vlog|한국일상|유투버|Collab|Korean|먹방|가족|뷰티유튜버일상|mukbang|커플|부부|신혼|신혼일기|요리|신혼부부|아기|조리원브이로그|차움조리원|차움|스킨푸드,"* 이 영상엔 스킨푸드 캐롯 카로틴 카밍 워터 패드 광고가 포함 되어 있습니다.안녕하세요 여러분 :)조금 늦었죠!엄마네서 실전 육아에 적응하고 집으로 돌아오고 정리하고 하다보니 날짜가 훅훅 지나가더라구요!영상 올리는 지금은 정리도 다 되었고 적응도 많이 되어서 아주 좋답니다 😬사실... 제목만 대하드라마니 뭐니 했지 별거 없습니다 ㅋㅋㅋㅋㅋ...2주치를 몰아서 한 영상에 올리는 일이 거의 없다보니 대하드라마라는 맞지도 않는 단어를 써보았어요....ㅋㅋㅋㅋㅋ아무튼! 저에게 조리원은 육아 실습! 육아 연습! 육아 교육장 같은 곳이라서 너무 좋았어요.친절한 선생님들 덕분에 두렵지 않게 실전 육아 준비를 잘 할 수 있었습니다.이제 친구가 하나 더 늘어서 살아가게 될텐데요,늘어난 식구 너무 기쁘게 맞이해주신 여러분들께 너무나 감사드려요 🙏🏻앞으로도 우리 서로 영상에서 늘 기쁨으로 만나길 바라봅니다!!그럼 다음 영상에서 뵙겠습니다.감사합니다!평소 사용/착용 제품 정보 올라가는 Instagram ID 👉🏻yootrue_infoInstagram ID 👉🏻yootrue5502유트루 헤어밴드👉🏻http://bit.ly/32HSmzN뽀끼함 (화장품 정리함)👉🏻http://bit.ly/2UjlhK7사용하는 카메라 거치대뽀끼스탠드 👉🏻 http://www.bbokki.co.kr 양면 마블 도마 (제작 상품)👉🏻https://bit.ly/3oM4fik채널 No.1 뷰티채널👉🏻 https://www.youtube.com/user/yootruebeutyroom/채널 No.2 생방송 채널👉🏻 https://www.youtube.com/c/yootrueonair",2021-04-13,2021-04-16,4,43,757405,1066023,18061,21385,269,445,1804,2140,253000,258000,100597192,101622524,896,897
V-KfO,CHtkRVa,2021-06-10,People & Blogs,PT10M45S,이지혜|밉지않은 관종언니|밉관|큰태리|VLOG|연예인엄마|태리|작은태리|밉지않은관종언니|관종언니|브이로그|연예인 브이로그|가족 브이로그|일상|관종부부|동상이몽|동상이몽 이지혜|이지혜 가족|이지혜 남편|샵|샵 이지혜|이지혜 브이로그|연예인 유튜브|이지혜 육아|육아|육아 브이로그|이지혜 요리|요리|이지혜 시어머니|이지혜 레시피|콩국수|여름음식|여름요리|수박쥬스|땡모반|수박|콩국수레시피|콩국수 레시피|문재완|와니tv|이지혜 동상이몽,관심이들 까꿍!!너무 오랜만이에요 관심이들😀저 보고 싶었죠?ㅋㅋㅋㅋ요즘 진짜 너~~~무 더워졌잖아요그래서 우리 관심이들 여름 시원하게 맞이하시라고콩국수 레시피를 준비했어요!!!기호에 따라 소금 한 꼬집 정도 더 넣으시면 더 맛나답니다~ 근데 콩국수 잘 만들다가 큰태리가 또 사고를 쳤지 뭐에요 정말🤣🤣🤣속에서 열불나는 거 땡모반으로 겨우 식혔네요ㅋㅋㅋㅋㅋ무슨 사고를 얼마나 쳤는지 궁금하시죠 관심이들? 영상으로 확인하세요!그럼 오늘도 구독 좋아요 알림 설정 필수!고고띵💙*본 영상은 SK 매직 직수 얼음정수기 광고가 포함되어 있습니다SK매직 all in one 직수 얼음정수기에서 출수된 물로 ITI 국제 식음료품평원에서 우수 미각상 수상SK매직 올인원 직수 얼음정수기 정보 보러가기 : https://bit.ly/3gdb5ec#이지혜 #콩국수 #요리,2021-06-12,2021-06-12,23,23,197452,197452,6117,6117,50,50,386,386,474000,474000,59658661,59658661,160,160
V-Nnx,CHIk1-y,2021-05-28,Science & Technology,PT6M27S,귀상어|머리|상어|진화|부력|로렌치니기관,"과학드림은 여러분의 소중한 후원으로 성장합니다.멤버십 가입!▶ http://bitly.kr/ZDqKr1WUG과학드림의 식구가 되어 주세요! :)다른 후원 방법!▶https://toon.at/donate/sciencegive=============================================상어 중 가장 기묘한 녀석을 꼽으라고 하면귀상어를 빼놓을 수가 없습니다.영어로는 Hammerhead shark, 일명 망치머리 상어로 불리는 녀석들의 아이덴티티는뭐니 뭐니 해도 삽자루처럼 생긴 거대한 머리죠.전 세계에는 약 9종의 귀상어가 살고 있는데,머리 길이가 몸 길이의 절반에 달하는 녀석(날개머리 상어)도 있을 정도로이들의 머리 모양과 크기는 가히 독보적입니다.그런데 가만히 생각해 보면귀상어의 머리는 정말 의문투성이입니다.도대체 이들의 머리는왜 이렇게 생겨먹은 걸까요?#귀상어 #머리 #진화=============================================[참고 자료]- D. M. McComb et al., (2009). Enhanced visual fields in hammerhead sharks.- Andrew P. Martin et al., (2010). Phylogeny of hammerhead sharks(Family Sphyrnidae) inferred from mitochondrial and nuclear genes.- Glenn R. Parsons et al., (2020). A hydrodynamics assessment of the hammerhead shark cephalofoil.[사진 및 영상]- 셔터스톡 외[음악](1) Chains by Deraj(2) Don't Mess with me by Custom Melody(3) Raise your glass to Another year by Ziggy(4) Dark Acoustic western groove - envato",2021-05-30,2021-05-31,38,46,207287,275228,4648,5440,85,104,698,790,563000,565000,83777935,84409910,94,94
V-Q5r,CHOOKj-,2021-05-26,People & Blogs,PT12M16S,,From Semicolon Studio컨텐츠 문의 : digitalstudio@semicolonstudio.com,2021-05-29,2021-05-31,34,47,314996,776575,5976,12606,61,147,699,1283,67200,69500,22845572,23850030,19,19
V-S9O,CHuTKrQ,2021-06-29,Entertainment,PT3M27S,바라던바다|로제|블랙핑크|윤종신|이지아|이동욱|온유|김고은|이수현|로제라이브|로제무대|음악|무대|라이브|밤바다|포항|알바생|음악알바생|월클|월클알바|kpop|idol|걸그룹|아이돌|샤이니|악뮤|ROS&Eacute;|BLACKPINK|sea of hope|JONGSHIN YOON|E JIAH|LEE DONGWOOK|ONEW|KIM GO EUN|Lee Suhyun|SHINee|AKMU|BLANKPINK,밤바다와 찰떡✨ 로제의 〈Slow Dancing In A Burning Room〉♬#바라던바다 #로제 #Slow_Dancing_In_A_Burning_Room,2021-07-04,2021-07-04,26,26,2706027,2706027,241640,241640,1435,1435,13572,13572,63100,63100,5939780,5939780,48,48
V-Tkg,CH9HNi_,2021-04-23,Entertainment,PT10M24S,,한국 아파트에 놀러갔다가 깜짝 놀란 샌디씨!샌디씨가 놀란 이유는 무엇일까요?♥영상이 재미있으셨다면 구독 좋아요 누르는 센스!♥출연자분들이 체험해봤으면 하는 것들이나   듣고싶은 이야기가 있다면 ☞댓글☜ 로 남겨주세요▶샌디 : https://www.instagram.com/sandy_pastagirl/           https://www.youtube.com/channel/UCuDkIM3GFl61pizSxuIthSQ ※※※어썸코리아 출연문의 : awesomekorea01@gmail.com한국을 사랑하는 외국인분들의 이야기를 기다립니다:),2021-04-25,2021-04-27,20,49,341930,504661,8904,10813,190,300,431,613,391000,392000,220940491,221836571,616,618
V-U9f,CHicKQU,2021-04-02,Education,PT11M42S,,"[올리버쌤의 영어회화 일력 365]저와 함께 새해 영어 공부를 매일 함께 해봐요!! 교보문고 https://bit.ly/389tTbX예스24 https://bit.ly/3l1nXFo알라딘 https://bit.ly/3etrwBP인터파크 https://bit.ly/3kYvHYY[해외에서 구매하고 싶다면?!]인터파크 글로벌 https://bit.ly/2Jfcc0J출산 후 사흘만에 집으로 돌아갑니다.둘이 되어서 집을 나섰지만 셋이 되어 집으로 돌아가는 의미있는 순간이에요.하지만 막상 집에 돌아가려니, 집에 저 없이 지내고 있었을 왕자와 공주가 생각나네요. 사흘 동안 떨어진 것은 처음이라 너무 걱정이 되어요.왕자와 공주는 그동안 어떻게 지내고 있었을까요?그리고 저와 마님을 어떻게 반겨줄까요? [올리버쌤의 실전 영어 꿀팁 100] 구매하기 예스24 https://bit.ly/31o54Dg교보문고 https://bit.ly/2R7WlQZ[올리버쌤의 영어 꿀팁] 책 구매하기예스24 http://bit.ly/2QigDck교보문고 http://bit.ly/2qWTNJc[올리버쌤 인스타그램] http://instagram.com/oliverkorea [유기견 입양 신청 및 해외 이동봉사 문의]메일 2798catherine@gmail.com인스타 instagram.com/yellow_mom_",2021-04-04,2021-04-07,20,33,1313677,1948660,51551,60438,335,480,4085,4550,1840000,1840000,385426433,387607689,575,575
V-UMA,CHmQdC1,2021-06-26,Music,PT3M33S,MSG WANNABE (M.O.M)|MSG WANNABE 1st Album|Foolish Love,Provided to YouTube by Genie Music CorporationFoolish Love · MSG WANNABE (M.O.M)MSG WANNABE 1st Album℗ 2021 유야호Released on: 2021-06-26Auto-generated by YouTube.,2021-06-29,2021-07-01,12,35,315643,652858,6091,8891,116,232,1,1,239000,240000,61003008,62004450,141622,141520
V-UXk,CH4qc3p,2021-07-26,Entertainment,PT18M25S,샌박의부장들|피식대학|한사랑산악회|이택조|빵송국|쿨제이|이호창|B대면데이트|최준|코빅 김해준|매드몬스터|매몬|코미디빅리그|비대면데이트|제이호|코빅|김해준|이용주|이창호|찐한친구|리뷰|자소서|프로필|샌부|좋좋소|이과장|조충범|중소기업|면접|정승|정승네트워크,#김해준 #이창호 #이용주화제의 웹드라마  ' 좋좋소 '!정승네트워크의  @이과장 과 조충범에게 듣는 조... 좋소 라이프!취조실 탈출을 꿈꾸는 부장들의 정승네트워크 면접 도전기!과연 부장들은 새출발할 수 있을까?Music provided by 브금대통령Track : New York City & Chill - https://youtu.be/xyc6Fh2R3es,2021-07-28,2021-07-28,19,19,120183,120183,2592,2592,46,46,337,337,70300,70300,12500356,12500356,90,90
V-V5T,CHExw7_,2021-05-20,Entertainment,PT25M37S,소개팅|하트시그널|프렌즈|찐한친구|김인호|상해기|현강림|웅이|아뜰리에|다혜하다|마이민|임선비|혜서니|라이브|실시간인기검색어|인기동영상,"※ 이 영상은 유료광고를 포함하고 있습니다.━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━남녀 인기투표 1위는 자신과 함께할콜라방 데이트 파트너를 선택할 수 있는 기회를 가지게 되는데!이들은 과연 누구를 선택했을까요?👀유튜러버는 매주 월, 목 여러분을 찾아뵙고 있습니다! 많은 관심과 사랑 부탁드려요💕채널 구독, 댓글, 좋아요, 알림설정까지!!또 한가지 소식, 유튜러버OST 두번째 테마곡인 ‘Deja vu’가 발매되었습니다!!Baby it’s you~🎶 온통 너~만 보여 난~중독성 넘치는 후렴구에 달달설렘 가득한 소리의 보컬!!🌸지금 바로 데자뷰의 리릭비디오를 감상해보세요!💕데자뷰 리릭비디오 보러가기: https://youtu.be/oRiZyEsnR9g💕데자뷰 음원 스마트링크: https://smek.lnk.to/SoRi_dejavu💕유튜러버 채널구독: https://www.youtube.com/c/Youtulover💕유튜러버 인스타팔로우: https://www.instagram.com/youtulover.official/#유튜러버 #김인호 #임선비 #이다혜 #마이민#상해기 #아뜰리에 #웅이 #김인호 #현강림 #혜서니 #유튜버 #소개팅 #파라다이스시티 #유튜러버OST #두번째테마곡 #데자뷰 #dejavu #암띵커밧츄👩‍❤️‍💋‍👨 #소리 #SoRi #발매━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━",2021-05-22,2021-05-23,36,42,113392,135793,1521,1616,285,327,600,632,29800,30000,3229360,3295997,20,21
V-WPB,CHUXDKi,2021-04-20,Sports,PT1H13M25S,골프|골프레슨|스윙|골프스윙|연예인|연예인골프단|연예인골프|연얘인골프|골퍼|여성골프|프로골프|골프선수|홍인규|홍이규골프|변기수|김준호|개그콘서트|스크린골프|골프연습장|골프장|심짱|트러블연구소|sbs골프|jtbc골프|홍인규골프|홍인규골프tv|홍인규tv|변기수|배동성|육혜승|슈가|개그콘서트|오나미|장훈석|하기원|장훈석프로|하기원프로|노승열|노승열프로|골프드라이버|골프아이언|골프우드|골프레슨|개그골프|골프웃긴스윙|골프영상|골프라운드|골프라운딩|굿샷김프로|이병옥|골프기초|골프초보|전설의초대|임진한|임진한골프레슨|골프그립잡는법|김국진골프|장재식골프레슨|골프라운딩|골프백스윙|골프스윙 아이언|골프입문|골프용품|골프브랜드|골프드라이버스윙,"안녕하세요 다람쥐 구독자여러분!드디어 기다리고 기다리신 고수대결 2편이 나왔습니다많이 기다리셨죠?( 재밌고 퀄리티있게 보여드리기위해 많은 시간이 들었습니다ㅠ)1편 순위는1위 박광현2위 김영호3위 변기수4위 이상운5위 조영구, 정명훈 이었는데요영구형 공식 부캐 조빠따 칩인버디로 분위기 흐름이 바뀔지?!!바뀌고 바뀌는 순위속에서 오는 짜릿함과 긴장감 같이 보시죠!구독과 좋아요 알림설정! 잊지마세용~#홍인규골프TV #연예인골프대회 #김영호 #이상운 #조영구 #박광현 #변기수 #정명훈 #조연희프로 #골프 #GOLF #GOLFWEAR #헤지스 #HAZZYS #닥스 #DAKS #파인리즈CC※ 홍인규 골프TV 메인스폰서#헤지스골프https://tinyurl.com/HAZZYS-GOLF#닥스골프https://tinyurl.com/DAKS-GOLF",2021-04-22,2021-04-23,13,32,252384,313954,3433,3822,101,130,1119,1194,200000,200000,49059924,49203485,178,178
V-X2l,CHZtpUg,2021-04-03,Entertainment,PT51S,피자|치즈피자|대만피자|대만맛집|대만야시장,,2021-04-06,2021-04-07,32,44,118680,159780,1338,1693,67,95,206,251,26500,28600,7403847,7855839,63,64
V-ZY2,CHWrh9h,2021-05-16,Howto & Style,PT2M4S,감자채전 만들기|감자채전 만드는 방법|감자채전 만드는법|감자채전 레시피|감자채전 황금레시피|감자전 만들기|감자전 만드는법|감자전 레시피|감자요리|간단요리|간단한 요리|전 부치기|전 부치는 법|술안주|술안주 요리|술안주 만들기|korean food|korean food recipes|potato recipes|potato pancakes|potato pancakes recipe,만드는 법은 초간단! 맛은 기가막힌 바삭바삭하고 쫀득쫀득한 감자채전 쉽게 만드는 법계량은 계량 스푼과 계량 컵 기준입니다.계량스푼 1큰술 = 15ml일반숟가락 1스푼 = 10~12ml계량스푼 1작은술 = 5ml계량컵 1컵 = 200ml종이컵 1컵 = 180~190ml-재료-감자 2개(중간크기)청양고추 2개당근 조금옥수수전분 2큰술식용유소금 3꼬집후추-Ingredients-2 potatoes (medium size)2 hot pepperssome carrot2 tablespoons cornstarchCooking oil3 Pinch of saltPepper#감자채전#감자전#전만들기Track: Blue — Declan DP [Audio Library Release]Music provided by Audio Library PlusWatch: https://youtu.be/Tu63TwPG0RAFree Download / Stream: https://alplus.io/BlueTrack: Flying High - Declan DP [AL+ Release]Music provided by Audio Library PlusWatch: https://youtu.be/H8F0mLiTOHEFree Download / Stream: http://alplus.io/FlyingHigh,2021-05-18,2021-05-18,45,45,173115,173115,2015,2015,23,23,97,97,337000,337000,70840300,70840300,399,399
V-b20,CHLKugl,2021-05-12,Entertainment,PT4M13S,14f|일사에프|라마단|로켓포|요격미사일|방사포|미사일|하마스|보복공습,이스라엘과 팔레스타인의 충돌이 격화되고 있습니다. 이 와중에 이스라엘의 미사일 아이언돔(Iron Dome)의 영상이 화제가 되고 있습니다. 팔레스타인이 쏜 로켓포를 족족 맞추며 폭죽이 터지는 듯한 영상입니다. 우리나라에선 한때 도입이 검토되기도 했던 미사일이라고 하네요.#아이언돔 #이스라엘 #팔레스타인,2021-05-14,2021-05-15,12,37,462367,691140,2731,3580,106,164,2053,2696,1120000,1120000,300427135,301071923,1935,1939
V-ciI,CHs9H--,2021-06-12,People & Blogs,PT26M47S,,#곽토리 #웨딩드레스 #커플브이로그려리 눈 그렁그렁 실화?!!̆̈🥺🥺🥺🥺💚💚💚♥ 인트로00:00 ~ 00:10♥ 려리 서프라이즈 밑밥 깔기00:11 ~ 03:26♥ 서프라이즈 장소 도착!03:27 ~ 04:31♥ 드레스 고르기…04:32 ~ 10:46♥1번 드레스10:47 ~ 12:16♥2번드레스12:17 ~ 16:30♥3번드레스16:30 ~ 20:25♥4번드레스20:26 ~ 22:36♥5번드레스22:37 ~ 25:47♥긴장한 려리의 흔적25:48 ~ 25:57♥ 여러분의 드레스 원픽은???25:58 ~ 26:28Dress: 하우스오브에이미 @houseofamy_official,2021-06-14,2021-06-15,18,31,433709,485855,7382,7762,93,131,1350,1429,463000,463000,119164177,119403598,508,508
